"","nlocs","scheme","ratio","change"
"1",50,"grid",2.22222222222222,"-90%"
"2",50,"random",0.833333333333334,"-90%"
"3",60,"grid",0,"-90%"
"4",60,"random",0,"-90%"
"5",70,"grid",0.625,"-90%"
"6",70,"random",0.833333333333333,"-90%"
"7",80,"grid",0.526315789473684,"-90%"
"8",80,"random",2.08333333333333,"-90%"
"9",90,"grid",1.57894736842105,"-90%"
"10",90,"random",4.375,"-90%"
"11",100,"grid",0.526315789473684,"-90%"
"12",100,"random",0.625,"-90%"
"13",110,"grid",0.434782608695652,"-90%"
"14",110,"random",2.72727272727273,"-90%"
"15",120,"grid",1.6,"-90%"
"16",120,"random",0,"-90%"
"17",130,"grid",1.07142857142857,"-90%"
"18",130,"random",2.5,"-90%"
"19",140,"grid",0.714285714285714,"-90%"
"20",140,"random",1.11111111111111,"-90%"
"21",150,"grid",0.833333333333333,"-90%"
"22",150,"random",0.434782608695652,"-90%"
"23",160,"grid",0.294117647058824,"-90%"
"24",160,"random",1.42857142857143,"-90%"
"25",170,"grid",0.588235294117647,"-90%"
"26",170,"random",0.37037037037037,"-90%"
"27",180,"grid",0.810810810810811,"-90%"
"28",180,"random",1.08108108108108,"-90%"
"29",190,"grid",0.833333333333333,"-90%"
"30",190,"random",0.512820512820513,"-90%"
"31",200,"grid",1.19047619047619,"-90%"
"32",200,"random",0.833333333333334,"-90%"
"33",210,"grid",1.28205128205128,"-90%"
"34",210,"random",1.11111111111111,"-90%"
"35",220,"grid",1.16279069767442,"-90%"
"36",220,"random",1.42857142857143,"-90%"
"37",230,"grid",1.13636363636364,"-90%"
"38",230,"random",1.76470588235294,"-90%"
"39",240,"grid",0.652173913043478,"-90%"
"40",240,"random",0.943396226415095,"-90%"
"41",250,"grid",0.784313725490196,"-90%"
"42",250,"random",1.16666666666667,"-90%"
"43",260,"grid",1.32075471698113,"-90%"
"44",260,"random",0.983606557377049,"-90%"
"45",270,"grid",0.701754385964912,"-90%"
"46",270,"random",0.961538461538462,"-90%"
"47",280,"grid",0.833333333333334,"-90%"
"48",280,"random",0.461538461538462,"-90%"
"49",290,"grid",1.03448275862069,"-90%"
"50",290,"random",0.847457627118644,"-90%"
"51",300,"grid",0.689655172413793,"-90%"
"52",300,"random",0.563380281690141,"-90%"
"53",50,"grid",1.66666666666667,"-80%"
"54",50,"random",0.416666666666667,"-80%"
"55",60,"grid",0.625,"-80%"
"56",60,"random",1,"-80%"
"57",70,"grid",1.25,"-80%"
"58",70,"random",2.08333333333333,"-80%"
