"","nlocs","scheme","ratio","change"
"1",50,"grid",1.81818181818182,"-90%"
"2",50,"random",0.4,"-90%"
"3",60,"grid",0.9375,"-90%"
"4",60,"random",1.07142857142857,"-90%"
"5",70,"grid",1,"-90%"
"6",70,"random",1.47058823529412,"-90%"
"7",80,"grid",0.697674418604651,"-90%"
"8",80,"random",2.38095238095238,"-90%"
"9",90,"grid",0.869565217391305,"-90%"
"10",90,"random",2.09302325581395,"-90%"
"11",100,"grid",1.13207547169811,"-90%"
"12",100,"random",0.909090909090909,"-90%"
"13",110,"grid",0.909090909090909,"-90%"
"14",110,"random",1.25,"-90%"
"15",120,"grid",0.819672131147541,"-90%"
"16",120,"random",0,"-90%"
"17",130,"grid",1.11111111111111,"-90%"
"18",130,"random",2.28070175438597,"-90%"
"19",140,"grid",1,"-90%"
"20",140,"random",0.666666666666667,"-90%"
"21",150,"grid",0.933333333333334,"-90%"
"22",150,"random",0.563380281690141,"-90%"
"23",160,"grid",1.42857142857143,"-90%"
"24",160,"random",1.33333333333333,"-90%"
"25",170,"grid",1.41176470588235,"-90%"
"26",170,"random",0.38961038961039,"-90%"
"27",180,"grid",1.14942528735632,"-90%"
"28",180,"random",1.05263157894737,"-90%"
"29",190,"grid",1.30952380952381,"-90%"
"30",190,"random",0.857142857142857,"-90%"
"31",200,"grid",1.27450980392157,"-90%"
"32",200,"random",1.19266055045872,"-90%"
"33",210,"grid",1.07843137254902,"-90%"
"34",210,"random",0.747663551401869,"-90%"
"35",220,"grid",0.900900900900901,"-90%"
"36",220,"random",1.45833333333333,"-90%"
"37",230,"grid",1.04347826086957,"-90%"
"38",230,"random",0.88495575221239,"-90%"
"39",240,"grid",1.0655737704918,"-90%"
"40",240,"random",1.36,"-90%"
"41",250,"grid",1.328125,"-90%"
"42",250,"random",1.41843971631206,"-90%"
"43",260,"grid",0.703125,"-90%"
"44",260,"random",1.0077519379845,"-90%"
"45",270,"grid",0.785714285714286,"-90%"
"46",270,"random",0.616438356164384,"-90%"
"47",280,"grid",0.833333333333333,"-90%"
"48",280,"random",0.977443609022557,"-90%"
"49",290,"grid",1.00671140939597,"-90%"
"50",290,"random",1.08108108108108,"-90%"
"51",300,"grid",1.01910828025478,"-90%"
"52",300,"random",0.670731707317073,"-90%"
"53",50,"grid",1.13636363636364,"-80%"
"54",50,"random",1.2,"-80%"
"55",60,"grid",0.9375,"-80%"
"56",60,"random",0.535714285714286,"-80%"
"57",70,"grid",0.5,"-80%"
"58",70,"random",0.882352941176471,"-80%"
"59",80,"grid",0.813953488372093,"-80%"
"60",80,"random",1.66666666666667,"-80%"
"61",90,"grid",1.08695652173913,"-80%"
"62",90,"random",1.16279069767442,"-80%"
"63",100,"grid",0.660377358490566,"-80%"
"64",100,"random",0.795454545454546,"-80%"
"65",110,"grid",0.818181818181818,"-80%"
"66",110,"random",0.78125,"-80%"
"67",120,"grid",0.983606557377049,"-80%"
"68",120,"random",0.384615384615385,"-80%"
"69",130,"grid",1.11111111111111,"-80%"
"70",130,"random",1.57894736842105,"-80%"
"71",140,"grid",1,"-80%"
"72",140,"random",0.866666666666667,"-80%"
"73",150,"grid",1,"-80%"
"74",150,"random",0.774647887323944,"-80%"
"75",160,"grid",1.16883116883117,"-80%"
"76",160,"random",1.26666666666667,"-80%"
"77",170,"grid",1.17647058823529,"-80%"
"78",170,"random",0.844155844155844,"-80%"
"79",180,"grid",0.977011494252874,"-80%"
"80",180,"random",0.947368421052632,"-80%"
"81",190,"grid",1.42857142857143,"-80%"
"82",190,"random",0.761904761904762,"-80%"
"83",200,"grid",1.12745098039216,"-80%"
"84",200,"random",1.00917431192661,"-80%"
"85",210,"grid",0.980392156862745,"-80%"
"86",210,"random",0.700934579439253,"-80%"
"87",220,"grid",0.945945945945946,"-80%"
"88",220,"random",1.40625,"-80%"
"89",230,"grid",1.04347826086957,"-80%"
"90",230,"random",0.796460176991151,"-80%"
"91",240,"grid",1.10655737704918,"-80%"
"92",240,"random",1.12,"-80%"
"93",250,"grid",1.0546875,"-80%"
"94",250,"random",0.957446808510639,"-80%"
"95",260,"grid",1.015625,"-80%"
"96",260,"random",1.04651162790698,"-80%"
"97",270,"grid",0.821428571428572,"-80%"
"98",270,"random",0.89041095890411,"-80%"
"99",280,"grid",1.04166666666667,"-80%"
"100",280,"random",1.16541353383459,"-80%"
"101",290,"grid",0.87248322147651,"-80%"
"102",290,"random",1.08108108108108,"-80%"
"103",300,"grid",1.05095541401274,"-80%"
"104",300,"random",0.945121951219512,"-80%"
"105",50,"grid",1.21212121212121,"-70%"
"106",50,"random",1.06666666666667,"-70%"
"107",60,"grid",0.9375,"-70%"
"108",60,"random",0.833333333333333,"-70%"
"109",70,"grid",0.916666666666667,"-70%"
"110",70,"random",0.980392156862745,"-70%"
"111",80,"grid",1.0077519379845,"-70%"
"112",80,"random",1.42857142857143,"-70%"
"113",90,"grid",1.15942028985507,"-70%"
"114",90,"random",0.930232558139535,"-70%"
"115",100,"grid",0.628930817610063,"-70%"
"116",100,"random",0.757575757575757,"-70%"
"117",110,"grid",1.03030303030303,"-70%"
"118",110,"random",0.9375,"-70%"
"119",120,"grid",0.87431693989071,"-70%"
"120",120,"random",0.641025641025641,"-70%"
"121",130,"grid",1.11111111111111,"-70%"
"122",130,"random",1.28654970760234,"-70%"
"123",140,"grid",1,"-70%"
"124",140,"random",0.888888888888889,"-70%"
"125",150,"grid",0.977777777777778,"-70%"
