"","nlocs","scheme","ratio","change"
"1",50,"grid",0,"-90%"
"2",50,"random",0,"-90%"
"3",60,"grid",0,"-90%"
"4",60,"random",0,"-90%"
"5",70,"grid",2.5,"-90%"
"6",70,"random",0,"-90%"
"7",80,"grid",1.42857142857143,"-90%"
"8",80,"random",1.42857142857143,"-90%"
"9",90,"grid",2,"-90%"
"10",90,"random",6,"-90%"
"11",100,"grid",0,"-90%"
"12",100,"random",0,"-90%"
"13",110,"grid",1.11111111111111,"-90%"
"14",110,"random",4,"-90%"
"15",120,"grid",0.833333333333333,"-90%"
"16",120,"random",0,"-90%"
"17",130,"grid",1.42857142857143,"-90%"
"18",130,"random",2.22222222222222,"-90%"
"19",140,"grid",0.714285714285714,"-90%"
"20",140,"random",1.53846153846154,"-90%"
"21",150,"grid",0.666666666666667,"-90%"
"22",150,"random",0,"-90%"
"23",160,"grid",0,"-90%"
"24",160,"random",1.05263157894737,"-90%"
"25",170,"grid",1,"-90%"
"26",170,"random",0,"-90%"
"27",180,"grid",1.17647058823529,"-90%"
"28",180,"random",0,"-90%"
"29",190,"grid",0.833333333333334,"-90%"
"30",190,"random",0.625,"-90%"
"31",200,"grid",0.434782608695652,"-90%"
"32",200,"random",0.909090909090909,"-90%"
"33",210,"grid",0.5,"-90%"
"34",210,"random",1.33333333333333,"-90%"
"35",220,"grid",0.476190476190476,"-90%"
"36",220,"random",1.11111111111111,"-90%"
"37",230,"grid",0.833333333333334,"-90%"
"38",230,"random",2.77777777777778,"-90%"
"39",240,"grid",0.740740740740741,"-90%"
"40",240,"random",1.07142857142857,"-90%"
"41",250,"grid",1.11111111111111,"-90%"
"42",250,"random",0.740740740740741,"-90%"
"43",260,"grid",0.769230769230769,"-90%"
"44",260,"random",0.740740740740741,"-90%"
"45",270,"grid",0.869565217391305,"-90%"
"46",270,"random",1.15384615384615,"-90%"
"47",280,"grid",1,"-90%"
"48",280,"random",0.32258064516129,"-90%"
"49",290,"grid",2.30769230769231,"-90%"
"50",290,"random",0.3125,"-90%"
"51",300,"grid",0.909090909090909,"-90%"
"52",300,"random",1.29032258064516,"-90%"
"53",50,"grid",2,"-80%"
"54",50,"random",0.833333333333334,"-80%"
"55",60,"grid",0,"-80%"
"56",60,"random",0,"-80%"
"57",70,"grid",1.25,"-80%"
"58",70,"random",0.833333333333333,"-80%"
"59",80,"grid",0.714285714285714,"-80%"
"60",80,"random",1.78571428571429,"-80%"
"61",90,"grid",1.5,"-80%"
"62",90,"random",3.5,"-80%"
"63",100,"grid",0.714285714285715,"-80%"
"64",100,"random",0.714285714285714,"-80%"
"65",110,"grid",0.555555555555556,"-80%"
"66",110,"random",3,"-80%"
"67",120,"grid",1.66666666666667,"-80%"
"68",120,"random",0,"-80%"
"69",130,"grid",1.07142857142857,"-80%"
"70",130,"random",1.66666666666667,"-80%"
"71",140,"grid",0.714285714285714,"-80%"
"72",140,"random",1.15384615384615,"-80%"
"73",150,"grid",0.666666666666667,"-80%"
"74",150,"random",0.454545454545455,"-80%"
"75",160,"grid",0.277777777777778,"-80%"
"76",160,"random",1.31578947368421,"-80%"
"77",170,"grid",0.5,"-80%"
"78",170,"random",0.384615384615385,"-80%"
"79",180,"grid",0.882352941176471,"-80%"
"80",180,"random",1.11111111111111,"-80%"
"81",190,"grid",0.625,"-80%"
"82",190,"random",0.625,"-80%"
"83",200,"grid",1.08695652173913,"-80%"
"84",200,"random",0.909090909090909,"-80%"
"85",210,"grid",1.25,"-80%"
"86",210,"random",1.33333333333333,"-80%"
"87",220,"grid",1.19047619047619,"-80%"
"88",220,"random",1.11111111111111,"-80%"
"89",230,"grid",1.04166666666667,"-80%"
"90",230,"random",1.66666666666667,"-80%"
"91",240,"grid",0.555555555555556,"-80%"
"92",240,"random",0.892857142857143,"-80%"
"93",250,"grid",0.740740740740741,"-80%"
"94",250,"random",1.2962962962963,"-80%"
"95",260,"grid",1.34615384615385,"-80%"
"96",260,"random",1.11111111111111,"-80%"
"97",270,"grid",0.869565217391305,"-80%"
"98",270,"random",0.961538461538462,"-80%"
"99",280,"grid",0.833333333333334,"-80%"
"100",280,"random",0.483870967741936,"-80%"
"101",290,"grid",1.15384615384615,"-80%"
"102",290,"random",0.78125,"-80%"
"103",300,"grid",0.606060606060606,"-80%"
"104",300,"random",0.645161290322581,"-80%"
"105",50,"grid",1.33333333333333,"-70%"
"106",50,"random",0.555555555555555,"-70%"
"107",60,"grid",0,"-70%"
"108",60,"random",1.11111111111111,"-70%"
"109",70,"grid",1.66666666666667,"-70%"
"110",70,"random",1.66666666666667,"-70%"
