"","nlocs","scheme","ratio","change"
"1",50,"grid",0.454545454545455,"-90%"
"2",60,"grid",1.03448275862069,"-90%"
"3",70,"grid",1.25,"-90%"
"4",80,"grid",0.75,"-90%"
"5",90,"grid",0.930232558139535,"-90%"
"6",100,"grid",0.612244897959184,"-90%"
"7",110,"grid",0.877192982456141,"-90%"
"8",120,"grid",0.961538461538462,"-90%"
"9",130,"grid",1.09375,"-90%"
"10",140,"grid",0.895522388059702,"-90%"
"11",150,"grid",0.714285714285714,"-90%"
"12",160,"grid",0.617283950617284,"-90%"
"13",170,"grid",0.681818181818182,"-90%"
"14",180,"grid",1.20879120879121,"-90%"
"15",190,"grid",0.879120879120879,"-90%"
"16",200,"grid",1.02040816326531,"-90%"
"17",210,"grid",0.729166666666667,"-90%"
"18",220,"grid",0.555555555555556,"-90%"
"19",230,"grid",0.990990990990991,"-90%"
"20",240,"grid",0.862068965517241,"-90%"
"21",250,"grid",0.655737704918033,"-90%"
"22",260,"grid",0.4,"-90%"
"23",270,"grid",0.78125,"-90%"
"24",280,"grid",0.680272108843538,"-90%"
"25",290,"grid",0.895522388059702,"-90%"
"26",300,"grid",0.827586206896552,"-90%"
"27",50,"random",0.434782608695652,"-90%"
"28",60,"random",0,"-90%"
"29",70,"random",0.606060606060606,"-90%"
"30",80,"random",0.303030303030303,"-90%"
"31",90,"random",0.952380952380953,"-90%"
"32",100,"random",1.37254901960784,"-90%"
"33",110,"random",1.05263157894737,"-90%"
"34",120,"random",0.816326530612245,"-90%"
"35",130,"random",1.38461538461539,"-90%"
"36",140,"random",0.317460317460317,"-90%"
"37",150,"random",1.33333333333333,"-90%"
"38",160,"random",0.375,"-90%"
"39",170,"random",1.26582278481013,"-90%"
"40",180,"random",0.574712643678161,"-90%"
"41",190,"random",0.927835051546392,"-90%"
"42",200,"random",0.6,"-90%"
"43",210,"random",1.23893805309735,"-90%"
"44",220,"random",0.96,"-90%"
"45",230,"random",0.654205607476636,"-90%"
"46",240,"random",0.92436974789916,"-90%"
"47",250,"random",1.09090909090909,"-90%"
"48",260,"random",1,"-90%"
"49",270,"random",0.888888888888889,"-90%"
"50",280,"random",0.584415584415584,"-90%"
"51",290,"random",0.597014925373134,"-90%"
"52",300,"random",0.87248322147651,"-90%"
"53",50,"grid",1.30434782608696,"-80%"
"54",60,"grid",1.20689655172414,"-80%"
"55",70,"grid",0.882352941176471,"-80%"
"56",80,"grid",1.04651162790698,"-80%"
"57",90,"grid",1.22222222222222,"-80%"
"58",100,"grid",0.74468085106383,"-80%"
"59",110,"grid",1.05769230769231,"-80%"
"60",120,"grid",0.948275862068966,"-80%"
"61",130,"grid",1.1864406779661,"-80%"
"62",140,"grid",0.928571428571429,"-80%"
"63",150,"grid",0.961538461538462,"-80%"
"64",160,"grid",0.963855421686747,"-80%"
"65",170,"grid",1.1875,"-80%"
"66",180,"grid",0.647058823529412,"-80%"
"67",190,"grid",0.978260869565218,"-80%"
"68",200,"grid",1.01063829787234,"-80%"
"69",210,"grid",0.894736842105263,"-80%"
"70",220,"grid",0.865384615384616,"-80%"
"71",230,"grid",1.02678571428571,"-80%"
"72",240,"grid",0.948275862068966,"-80%"
"73",250,"grid",0.984251968503937,"-80%"
"74",260,"grid",1.0655737704918,"-80%"
"75",270,"grid",0.96,"-80%"
"76",280,"grid",0.939849624060151,"-80%"
"77",290,"grid",0.902255639097745,"-80%"
"78",300,"grid",1.06382978723404,"-80%"
"79",50,"random",1.2,"-80%"
"80",60,"random",1.03448275862069,"-80%"
"81",70,"random",1.35135135135135,"-80%"
"82",80,"random",0.609756097560976,"-80%"
"83",90,"random",0.74468085106383,"-80%"
"84",100,"random",0.7,"-80%"
"85",110,"random",1.0377358490566,"-80%"
"86",120,"random",0.789473684210527,"-80%"
"87",130,"random",0.877192982456141,"-80%"
"88",140,"random",1.35714285714286,"-80%"
"89",150,"random",1.51315789473684,"-80%"
"90",160,"random",0.698924731182796,"-80%"
"91",170,"random",0.63953488372093,"-80%"
"92",180,"random",1.11111111111111,"-80%"
"93",190,"random",1.04395604395604,"-80%"
"94",200,"random",1.04395604395604,"-80%"
"95",210,"random",1.16822429906542,"-80%"
"96",220,"random",0.849056603773585,"-80%"
"97",230,"random",0.811965811965812,"-80%"
"98",240,"random",0.905172413793104,"-80%"
"99",250,"random",0.905172413793104,"-80%"
"100",260,"random",1.19047619047619,"-80%"
"101",270,"random",0.698529411764706,"-80%"
"102",280,"random",0.946969696969697,"-80%"
"103",290,"random",0.629370629370629,"-80%"
"104",300,"random",0.766666666666667,"-80%"
"105",50,"grid",0.869565217391304,"-70%"
"106",60,"grid",0.689655172413793,"-70%"
"107",70,"grid",0.808080808080808,"-70%"
"108",80,"grid",0.857142857142857,"-70%"
"109",90,"grid",1.08695652173913,"-70%"
"110",100,"grid",1.23456790123457,"-70%"
"111",110,"grid",0.880503144654088,"-70%"
"112",120,"grid",1.03825136612022,"-70%"
"113",130,"grid",0.666666666666667,"-70%"
"114",140,"grid",1.03286384976526,"-70%"
"115",150,"grid",1.11111111111111,"-70%"
"116",160,"grid",0.912698412698412,"-70%"
"117",170,"grid",0.804597701149425,"-70%"
"118",180,"grid",1.04868913857678,"-70%"
"119",190,"grid",0.776699029126213,"-70%"
"120",200,"grid",1.14583333333333,"-70%"
"121",210,"grid",0.87378640776699,"-70%"
"122",220,"grid",0.87378640776699,"-70%"
"123",230,"grid",0.862068965517241,"-70%"
"124",240,"grid",0.87719298245614,"-70%"
"125",250,"grid",0.826666666666666,"-70%"
"126",260,"grid",0.997375328083989,"-70%"
"127",270,"grid",0.88,"-70%"
"128",280,"grid",0.75187969924812,"-70%"
"129",290,"grid",0.990338164251208,"-70%"
"130",300,"grid",1.0952380952381,"-70%"
"131",50,"random",0.933333333333333,"-70%"
"132",60,"random",1.96969696969697,"-70%"
"133",70,"random",1.13821138211382,"-70%"
"134",80,"random",0.761904761904762,"-70%"
"135",90,"random",0.854700854700854,"-70%"
"136",100,"random",1.21212121212121,"-70%"
"137",110,"random",0.943396226415094,"-70%"
"138",120,"random",1.05263157894737,"-70%"
"139",130,"random",0.564102564102564,"-70%"
"140",140,"random",0.796019900497512,"-70%"
"141",150,"random",0.844444444444444,"-70%"
"142",160,"random",1.54929577464789,"-70%"
"143",170,"random",1.06995884773663,"-70%"
"144",180,"random",1.00877192982456,"-70%"
"145",190,"random",1.13095238095238,"-70%"
"146",200,"random",0.918367346938775,"-70%"
"147",210,"random",1.04761904761905,"-70%"
"148",220,"random",0.73015873015873,"-70%"
"149",230,"random",1.00694444444444,"-70%"
"150",240,"random",0.935672514619883,"-70%"
"151",250,"random",0.883190883190883,"-70%"
"152",260,"random",0.906862745098039,"-70%"
"153",270,"random",1.05392156862745,"-70%"
"154",280,"random",0.929705215419501,"-70%"
"155",290,"random",1.01149425287356,"-70%"
"156",300,"random",1.02380952380952,"-70%"
"157",50,"grid",0.625,"-60%"
"158",60,"grid",0.725806451612903,"-60%"
"159",70,"grid",1.06060606060606,"-60%"
"160",80,"grid",1.04651162790698,"-60%"
"161",90,"grid",0.9375,"-60%"
"162",100,"grid",1.13636363636364,"-60%"
"163",110,"grid",0.925925925925926,"-60%"
"164",120,"grid",1.01851851851852,"-60%"
"165",130,"grid",0.887096774193548,"-60%"
"166",140,"grid",0.941558441558441,"-60%"
"167",150,"grid",1.11486486486486,"-60%"
"168",160,"grid",0.789473684210526,"-60%"
"169",170,"grid",0.805555555555555,"-60%"
"170",180,"grid",1.25,"-60%"
"171",190,"grid",0.973684210526316,"-60%"
"172",200,"grid",1.0989010989011,"-60%"
"173",210,"grid",0.9,"-60%"
"174",220,"grid",0.99537037037037,"-60%"
"175",230,"grid",0.968468468468468,"-60%"
"176",240,"grid",0.88235294117647,"-60%"
"177",250,"grid",1.05932203389831,"-60%"
"178",260,"grid",1.07142857142857,"-60%"
"179",270,"grid",1.04961832061069,"-60%"
"180",280,"grid",1.14173228346457,"-60%"
"181",290,"grid",0.9375,"-60%"
"182",300,"grid",0.904605263157895,"-60%"
"183",50,"random",0.865384615384615,"-60%"
"184",60,"random",0.75,"-60%"
"185",70,"random",0.740740740740741,"-60%"
"186",80,"random",1.25,"-60%"
"187",90,"random",0.909090909090909,"-60%"
"188",100,"random",0.869565217391304,"-60%"
"189",110,"random",1.05263157894737,"-60%"
"190",120,"random",0.7421875,"-60%"
"191",130,"random",0.855263157894737,"-60%"
"192",140,"random",0.875,"-60%"
"193",150,"random",0.919117647058823,"-60%"
"194",160,"random",0.911764705882353,"-60%"
"195",170,"random",1.125,"-60%"
