"","nlocs","scheme","ratio","change"
"1",50,"grid",0,"-90%"
"2",60,"grid",0.714285714285714,"-90%"
"3",70,"grid",0,"-90%"
"4",80,"grid",0.714285714285714,"-90%"
"5",90,"grid",0,"-90%"
"6",100,"grid",0.555555555555556,"-90%"
"7",110,"grid",0.5,"-90%"
"8",120,"grid",0,"-90%"
"9",130,"grid",1,"-90%"
"10",140,"grid",0.740740740740741,"-90%"
"11",150,"grid",0,"-90%"
"12",160,"grid",0.967741935483871,"-90%"
"13",170,"grid",0.625,"-90%"
"14",180,"grid",0.27027027027027,"-90%"
"15",190,"grid",0.256410256410256,"-90%"
"16",200,"grid",1.08108108108108,"-90%"
"17",210,"grid",0.75,"-90%"
"18",220,"grid",0.238095238095238,"-90%"
"19",230,"grid",0.681818181818182,"-90%"
"20",240,"grid",0.512820512820513,"-90%"
"21",250,"grid",0.961538461538462,"-90%"
"22",260,"grid",0.192307692307692,"-90%"
"23",270,"grid",0.754716981132076,"-90%"
"24",280,"grid",0.545454545454546,"-90%"
"25",290,"grid",0.576923076923077,"-90%"
"26",300,"grid",0.727272727272727,"-90%"
"27",50,"random",1,"-90%"
"28",60,"random",0,"-90%"
"29",70,"random",0,"-90%"
"30",80,"random",0,"-90%"
"31",90,"random",0,"-90%"
"32",100,"random",0.555555555555556,"-90%"
"33",110,"random",0.769230769230769,"-90%"
"34",120,"random",0.666666666666667,"-90%"
"35",130,"random",0.454545454545455,"-90%"
"36",140,"random",0,"-90%"
"37",150,"random",0,"-90%"
"38",160,"random",0.606060606060606,"-90%"
"39",170,"random",0,"-90%"
"40",180,"random",0.487804878048781,"-90%"
"41",190,"random",0.294117647058824,"-90%"
"42",200,"random",0.606060606060606,"-90%"
"43",210,"random",1.21951219512195,"-90%"
"44",220,"random",0.476190476190476,"-90%"
"45",230,"random",0.526315789473684,"-90%"
"46",240,"random",0.212765957446809,"-90%"
"47",250,"random",0.731707317073171,"-90%"
"48",260,"random",0.666666666666667,"-90%"
"49",270,"random",1.2,"-90%"
"50",280,"random",0.238095238095238,"-90%"
"51",290,"random",0.169491525423729,"-90%"
"52",300,"random",0.161290322580645,"-90%"
"53",50,"grid",0.454545454545455,"-80%"
"54",60,"grid",0.625,"-80%"
"55",70,"grid",1.92307692307692,"-80%"
"56",80,"grid",1.25,"-80%"
"57",90,"grid",0.909090909090909,"-80%"
"58",100,"grid",1,"-80%"
"59",110,"grid",1.13636363636364,"-80%"
"60",120,"grid",0.833333333333334,"-80%"
"61",130,"grid",1.25,"-80%"
"62",140,"grid",1.16666666666667,"-80%"
"63",150,"grid",1.16666666666667,"-80%"
"64",160,"grid",0.967741935483871,"-80%"
"65",170,"grid",1.5625,"-80%"
"66",180,"grid",1.05263157894737,"-80%"
"67",190,"grid",1.09375,"-80%"
"68",200,"grid",0.25,"-80%"
"69",210,"grid",0.909090909090909,"-80%"
"70",220,"grid",0.75,"-80%"
"71",230,"grid",0.74468085106383,"-80%"
"72",240,"grid",1.33333333333333,"-80%"
"73",250,"grid",0.510204081632653,"-80%"
"74",260,"grid",1.3,"-80%"
"75",270,"grid",1.3,"-80%"
"76",280,"grid",1.05263157894737,"-80%"
"77",290,"grid",1.0377358490566,"-80%"
"78",300,"grid",1.11111111111111,"-80%"
"79",50,"random",1.11111111111111,"-80%"
"80",60,"random",0.909090909090909,"-80%"
"81",70,"random",1.31578947368421,"-80%"
"82",80,"random",2.5,"-80%"
"83",90,"random",1.66666666666667,"-80%"
"84",100,"random",0.681818181818182,"-80%"
"85",110,"random",1.38888888888889,"-80%"
"86",120,"random",0.862068965517241,"-80%"
"87",130,"random",1.13636363636364,"-80%"
"88",140,"random",1.20689655172414,"-80%"
"89",150,"random",1.17647058823529,"-80%"
"90",160,"random",0.735294117647059,"-80%"
"91",170,"random",0.535714285714286,"-80%"
"92",180,"random",1.32352941176471,"-80%"
"93",190,"random",0.897435897435897,"-80%"
"94",200,"random",0.789473684210526,"-80%"
"95",210,"random",1.09375,"-80%"
"96",220,"random",1.21212121212121,"-80%"
"97",230,"random",0.566037735849057,"-80%"
"98",240,"random",1.16071428571429,"-80%"
"99",250,"random",0.816326530612245,"-80%"
"100",260,"random",1.14583333333333,"-80%"
"101",270,"random",1.66666666666667,"-80%"
"102",280,"random",0.833333333333334,"-80%"
"103",290,"random",0.784313725490196,"-80%"
"104",300,"random",0.625,"-80%"
"105",50,"grid",1.48148148148148,"-70%"
"106",60,"grid",1,"-70%"
"107",70,"grid",0.909090909090909,"-70%"
"108",80,"grid",1.17647058823529,"-70%"
"109",90,"grid",0.740740740740741,"-70%"
"110",100,"grid",1,"-70%"
"111",110,"grid",1.2962962962963,"-70%"
"112",120,"grid",0.909090909090909,"-70%"
"113",130,"grid",0.606060606060606,"-70%"
"114",140,"grid",1.06060606060606,"-70%"
"115",150,"grid",0.256410256410256,"-70%"
"116",160,"grid",0.804597701149425,"-70%"
"117",170,"grid",1.17647058823529,"-70%"
"118",180,"grid",0.740740740740741,"-70%"
"119",190,"grid",1.01851851851852,"-70%"
"120",200,"grid",1.28205128205128,"-70%"
"121",210,"grid",1.03174603174603,"-70%"
"122",220,"grid",0.87719298245614,"-70%"
"123",230,"grid",1.43939393939394,"-70%"
"124",240,"grid",1.06060606060606,"-70%"
"125",250,"grid",0.984848484848485,"-70%"
"126",260,"grid",1.15942028985507,"-70%"
"127",270,"grid",0.921985815602837,"-70%"
"128",280,"grid",0.817610062893082,"-70%"
"129",290,"grid",1.02564102564103,"-70%"
"130",300,"grid",1.11111111111111,"-70%"
"131",50,"random",0.416666666666667,"-70%"
"132",60,"random",0.909090909090909,"-70%"
"133",70,"random",1.21212121212121,"-70%"
"134",80,"random",0.333333333333333,"-70%"
"135",90,"random",0.701754385964912,"-70%"
"136",100,"random",0.476190476190476,"-70%"
"137",110,"random",1.5,"-70%"
"138",120,"random",0.617283950617284,"-70%"
"139",130,"random",0.952380952380952,"-70%"
"140",140,"random",1.06060606060606,"-70%"
"141",150,"random",0.9375,"-70%"
"142",160,"random",0.574712643678161,"-70%"
"143",170,"random",0.714285714285714,"-70%"
"144",180,"random",0.357142857142857,"-70%"
"145",190,"random",1.33333333333333,"-70%"
"146",200,"random",1.01851851851852,"-70%"
"147",210,"random",1.02564102564103,"-70%"
"148",220,"random",0.930232558139535,"-70%"
"149",230,"random",1.08843537414966,"-70%"
"150",240,"random",0.666666666666667,"-70%"
"151",250,"random",0.567375886524823,"-70%"
"152",260,"random",0.777777777777778,"-70%"
"153",270,"random",0.833333333333333,"-70%"
"154",280,"random",0.62015503875969,"-70%"
