"","nlocs","scheme","ratio","change"
"1",50,"grid",0.666666666666667,"-90%"
"2",60,"grid",0,"-90%"
"3",70,"grid",0,"-90%"
"4",80,"grid",0,"-90%"
"5",90,"grid",0.4,"-90%"
"6",100,"grid",0.645161290322581,"-90%"
"7",110,"grid",0.294117647058824,"-90%"
"8",120,"grid",0.882352941176471,"-90%"
"9",130,"grid",0.5,"-90%"
"10",140,"grid",0.476190476190476,"-90%"
"11",150,"grid",0.769230769230769,"-90%"
"12",160,"grid",0.454545454545455,"-90%"
"13",170,"grid",0.980392156862745,"-90%"
"14",180,"grid",1.27272727272727,"-90%"
"15",190,"grid",0.408163265306123,"-90%"
"16",200,"grid",1.03448275862069,"-90%"
"17",210,"grid",0.483870967741936,"-90%"
"18",220,"grid",0.78125,"-90%"
"19",230,"grid",1.04477611940299,"-90%"
"20",240,"grid",0.277777777777778,"-90%"
"21",250,"grid",0.985915492957747,"-90%"
"22",260,"grid",0.909090909090909,"-90%"
"23",270,"grid",0.886075949367089,"-90%"
"24",280,"grid",0.4,"-90%"
"25",290,"grid",0.476190476190476,"-90%"
"26",300,"grid",0.674157303370787,"-90%"
"27",50,"random",2,"-90%"
"28",60,"random",1.25,"-90%"
"29",70,"random",2.27272727272727,"-90%"
"30",80,"random",0,"-90%"
"31",90,"random",0.434782608695652,"-90%"
"32",100,"random",1.61290322580645,"-90%"
"33",110,"random",0.294117647058824,"-90%"
"34",120,"random",0.476190476190476,"-90%"
"35",130,"random",0.3125,"-90%"
"36",140,"random",0.930232558139535,"-90%"
"37",150,"random",0.454545454545455,"-90%"
"38",160,"random",0.652173913043478,"-90%"
"39",170,"random",0.476190476190476,"-90%"
"40",180,"random",0.6,"-90%"
"41",190,"random",1.34328358208955,"-90%"
"42",200,"random",0.377358490566038,"-90%"
"43",210,"random",0.540540540540541,"-90%"
"44",220,"random",1.2962962962963,"-90%"
"45",230,"random",0.476190476190476,"-90%"
"46",240,"random",0.909090909090909,"-90%"
"47",250,"random",0.677966101694915,"-90%"
"48",260,"random",0.845070422535212,"-90%"
"49",270,"random",0.895522388059702,"-90%"
"50",280,"random",0.540540540540541,"-90%"
"51",290,"random",0.795454545454546,"-90%"
"52",300,"random",0.930232558139535,"-90%"
"53",50,"grid",1.15384615384615,"-80%"
"54",60,"grid",0.714285714285714,"-80%"
"55",70,"grid",1.19047619047619,"-80%"
"56",80,"grid",0.5,"-80%"
"57",90,"grid",0.555555555555556,"-80%"
"58",100,"grid",1.08695652173913,"-80%"
"59",110,"grid",0.857142857142857,"-80%"
"60",120,"grid",0.967741935483871,"-80%"
"61",130,"grid",0.897435897435898,"-80%"
"62",140,"grid",0.694444444444445,"-80%"
"63",150,"grid",0.875,"-80%"
"64",160,"grid",0.865384615384616,"-80%"
"65",170,"grid",0.288461538461538,"-80%"
"66",180,"grid",0.714285714285714,"-80%"
"67",190,"grid",0.677966101694916,"-80%"
"68",200,"grid",0.75,"-80%"
"69",210,"grid",0.901639344262295,"-80%"
"70",220,"grid",0.514705882352941,"-80%"
"71",230,"grid",1.04477611940299,"-80%"
"72",240,"grid",0.723684210526316,"-80%"
"73",250,"grid",1.15942028985507,"-80%"
"74",260,"grid",0.632911392405063,"-80%"
"75",270,"grid",1,"-80%"
"76",280,"grid",0.853658536585366,"-80%"
"77",290,"grid",0.777777777777778,"-80%"
"78",300,"grid",0.988372093023256,"-80%"
"79",50,"random",1.25,"-80%"
"80",60,"random",0.952380952380953,"-80%"
"81",70,"random",0.454545454545455,"-80%"
"82",80,"random",0.416666666666667,"-80%"
"83",90,"random",0.4,"-80%"
"84",100,"random",0.833333333333334,"-80%"
"85",110,"random",0.694444444444445,"-80%"
"86",120,"random",1.34146341463415,"-80%"
"87",130,"random",0.595238095238095,"-80%"
"88",140,"random",1.27450980392157,"-80%"
"89",150,"random",0.75,"-80%"
"90",160,"random",1.08695652173913,"-80%"
"91",170,"random",0.625,"-80%"
"92",180,"random",0.727272727272727,"-80%"
"93",190,"random",0.943396226415095,"-80%"
