"","nlocs","scheme","ratio","change"
"1",50,"grid",0.303030303030303,"-90%"
"2",60,"grid",1.28205128205128,"-90%"
"3",70,"grid",1.22448979591837,"-90%"
"4",80,"grid",1.25,"-90%"
"5",90,"grid",1.05263157894737,"-90%"
"6",100,"grid",0.958904109589041,"-90%"
"7",110,"grid",1.03896103896104,"-90%"
"8",120,"grid",1.04651162790698,"-90%"
"9",130,"grid",1.15789473684211,"-90%"
"10",140,"grid",0.729166666666667,"-90%"
"11",150,"grid",0.927835051546392,"-90%"
"12",160,"grid",1.06194690265487,"-90%"
"13",170,"grid",1.11111111111111,"-90%"
"14",180,"grid",1.08527131782946,"-90%"
"15",190,"grid",0.808823529411765,"-90%"
"16",200,"grid",0.413793103448276,"-90%"
"17",210,"grid",0.945945945945946,"-90%"
"18",220,"grid",0.789473684210527,"-90%"
"19",230,"grid",0.993788819875777,"-90%"
"20",240,"grid",1.04294478527607,"-90%"
"21",250,"grid",0.654761904761905,"-90%"
"22",260,"grid",0.934065934065934,"-90%"
"23",270,"grid",0.934065934065934,"-90%"
"24",280,"grid",1.06382978723404,"-90%"
"25",290,"grid",0.913705583756345,"-90%"
"26",300,"grid",0.821256038647343,"-90%"
"27",50,"random",0.5,"-90%"
"28",60,"random",2.19512195121951,"-90%"
"29",70,"random",0.697674418604651,"-90%"
"30",80,"random",0.925925925925926,"-90%"
"31",90,"random",1.02941176470588,"-90%"
"32",100,"random",1.23076923076923,"-90%"
"33",110,"random",0.540540540540541,"-90%"
"34",120,"random",1.08433734939759,"-90%"
"35",130,"random",0.842105263157895,"-90%"
"36",140,"random",0.918367346938776,"-90%"
"37",150,"random",0.416666666666667,"-90%"
"38",160,"random",0.877192982456141,"-90%"
"39",170,"random",0.769230769230769,"-90%"
"40",180,"random",0.78740157480315,"-90%"
"41",190,"random",0.82089552238806,"-90%"
"42",200,"random",0.503597122302158,"-90%"
"43",210,"random",0.928571428571429,"-90%"
"44",220,"random",1.18055555555556,"-90%"
"45",230,"random",0.802469135802469,"-90%"
"46",240,"random",0.9375,"-90%"
"47",250,"random",0.919540229885058,"-90%"
"48",260,"random",1.20218579234973,"-90%"
"49",270,"random",0.815217391304348,"-90%"
"50",280,"random",1.28342245989305,"-90%"
"51",290,"random",1.03448275862069,"-90%"
"52",300,"random",0.824742268041237,"-90%"
"53",50,"grid",1,"-80%"
"54",60,"grid",0.930232558139535,"-80%"
"55",70,"grid",1.1,"-80%"
"56",80,"grid",0.789473684210526,"-80%"
"57",90,"grid",0.901639344262295,"-80%"
"58",100,"grid",0.869565217391305,"-80%"
"59",110,"grid",1.08108108108108,"-80%"
"60",120,"grid",0.795454545454546,"-80%"
"61",130,"grid",1.19318181818182,"-80%"
"62",140,"grid",0.797872340425532,"-80%"
"63",150,"grid",1.10576923076923,"-80%"
"64",160,"grid",0.803571428571429,"-80%"
"65",170,"grid",1.07438016528926,"-80%"
"66",180,"grid",1.29166666666667,"-80%"
"67",190,"grid",0.802919708029197,"-80%"
"68",200,"grid",0.99290780141844,"-80%"
"69",210,"grid",0.659722222222222,"-80%"
"70",220,"grid",0.980392156862746,"-80%"
"71",230,"grid",1.06451612903226,"-80%"
"72",240,"grid",1.04294478527607,"-80%"
"73",250,"grid",0.970588235294118,"-80%"
"74",260,"grid",0.805555555555556,"-80%"
"75",270,"grid",0.921787709497207,"-80%"
"76",280,"grid",0.920398009950249,"-80%"
"77",290,"grid",0.897435897435898,"-80%"
"78",300,"grid",1.10294117647059,"-80%"
"79",50,"random",1,"-80%"
"80",60,"random",1.08108108108108,"-80%"
"81",70,"random",1.0377358490566,"-80%"
"82",80,"random",1.1864406779661,"-80%"
"83",90,"random",0.846153846153846,"-80%"
"84",100,"random",1.06666666666667,"-80%"
"85",110,"random",0.909090909090909,"-80%"
"86",120,"random",1.25,"-80%"
"87",130,"random",1.01123595505618,"-80%"
"88",140,"random",0.784313725490196,"-80%"
"89",150,"random",1.11650485436893,"-80%"
"90",160,"random",1.05504587155963,"-80%"
"91",170,"random",0.891472868217054,"-80%"
"92",180,"random",0.866141732283465,"-80%"
"93",190,"random",1.31147540983607,"-80%"
"94",200,"random",1.02112676056338,"-80%"
"95",210,"random",0.921052631578948,"-80%"
"96",220,"random",1.14814814814815,"-80%"
"97",230,"random",1.11111111111111,"-80%"
"98",240,"random",0.98159509202454,"-80%"
"99",250,"random",0.755813953488372,"-80%"
"100",260,"random",0.852941176470588,"-80%"
"101",270,"random",0.923913043478261,"-80%"
"102",280,"random",1.09947643979058,"-80%"
"103",290,"random",0.904255319148936,"-80%"
"104",300,"random",0.734597156398104,"-80%"
"105",50,"grid",1.26436781609195,"-70%"
"106",60,"grid",1.1965811965812,"-70%"
"107",70,"grid",0.921985815602837,"-70%"
"108",80,"grid",0.943396226415094,"-70%"
"109",90,"grid",0.952380952380952,"-70%"
"110",100,"grid",0.869565217391304,"-70%"
"111",110,"grid",1.15384615384615,"-70%"
"112",120,"grid",0.803212851405622,"-70%"
"113",130,"grid",0.909090909090909,"-70%"
"114",140,"grid",1.0752688172043,"-70%"
"115",150,"grid",0.816993464052287,"-70%"
"116",160,"grid",1.16207951070336,"-70%"
"117",170,"grid",0.9366391184573,"-70%"
"118",180,"grid",0.904392764857881,"-70%"
"119",190,"grid",0.9375,"-70%"
"120",200,"grid",0.874704491725768,"-70%"
"121",210,"grid",1.01149425287356,"-70%"
"122",220,"grid",0.939597315436241,"-70%"
"123",230,"grid",0.888888888888889,"-70%"
"124",240,"grid",0.961145194274029,"-70%"
"125",250,"grid",0.958083832335329,"-70%"
"126",260,"grid",1.02150537634409,"-70%"
"127",270,"grid",1.0573476702509,"-70%"
"128",280,"grid",0.910652920962199,"-70%"
"129",290,"grid",0.938023450586264,"-70%"
"130",300,"grid",0.947712418300653,"-70%"
"131",50,"random",1.33333333333333,"-70%"
"132",60,"random",0.900900900900901,"-70%"
"133",70,"random",0.869565217391304,"-70%"
"134",80,"random",0.760233918128655,"-70%"
"135",90,"random",0.977011494252873,"-70%"
"136",100,"random",0.88235294117647,"-70%"
"137",110,"random",1.11111111111111,"-70%"
"138",120,"random",1.19047619047619,"-70%"
"139",130,"random",0.740740740740741,"-70%"
