"","nlocs","scheme","ratio","change"
"1",50,"grid",1.27659574468085,"-90%"
"2",60,"grid",0.769230769230769,"-90%"
"3",70,"grid",0.508474576271187,"-90%"
"4",80,"grid",1.69014084507042,"-90%"
"5",90,"grid",0.632911392405063,"-90%"
"6",100,"grid",1.01123595505618,"-90%"
"7",110,"grid",1.04166666666667,"-90%"
"8",120,"grid",0.943396226415095,"-90%"
"9",130,"grid",0.769230769230769,"-90%"
"10",140,"grid",1.015625,"-90%"
"11",150,"grid",1,"-90%"
"12",160,"grid",0.845070422535211,"-90%"
"13",170,"grid",0.784313725490196,"-90%"
"14",180,"grid",1.08433734939759,"-90%"
"15",190,"grid",0.833333333333333,"-90%"
"16",200,"grid",1.13513513513514,"-90%"
"17",210,"grid",1.06382978723404,"-90%"
"18",220,"grid",0.75,"-90%"
"19",230,"grid",0.788177339901478,"-90%"
"20",240,"grid",0.700934579439252,"-90%"
"21",250,"grid",0.803571428571429,"-90%"
"22",260,"grid",0.94017094017094,"-90%"
"23",270,"grid",0.769230769230769,"-90%"
"24",280,"grid",0.992063492063492,"-90%"
"25",290,"grid",0.8203125,"-90%"
"26",300,"grid",0.989010989010989,"-90%"
"27",50,"random",0.465116279069768,"-90%"
"28",60,"random",1.09090909090909,"-90%"
"29",70,"random",0.833333333333334,"-90%"
"30",80,"random",1.08108108108108,"-90%"
"31",90,"random",0.875,"-90%"
"32",100,"random",0.681818181818182,"-90%"
"33",110,"random",1.05263157894737,"-90%"
"34",120,"random",0.891089108910891,"-90%"
"35",130,"random",1.26050420168067,"-90%"
"36",140,"random",0.708661417322835,"-90%"
"37",150,"random",0.916030534351145,"-90%"
"38",160,"random",0.638297872340426,"-90%"
"39",170,"random",0.844155844155844,"-90%"
"40",180,"random",0.718562874251497,"-90%"
"41",190,"random",1.13095238095238,"-90%"
"42",200,"random",1.24293785310734,"-90%"
"43",210,"random",0.585106382978724,"-90%"
"44",220,"random",1.24378109452736,"-90%"
