"","nlocs","scheme","ratio","change"
"1",50,"grid",1,"-90%"
"2",60,"grid",0.833333333333334,"-90%"
"3",70,"grid",1.31578947368421,"-90%"
"4",80,"grid",0.465116279069767,"-90%"
"5",90,"grid",1.17647058823529,"-90%"
"6",100,"grid",0.833333333333333,"-90%"
"7",110,"grid",1.02941176470588,"-90%"
"8",120,"grid",0.694444444444445,"-90%"
"9",130,"grid",0.833333333333333,"-90%"
"10",140,"grid",1.13924050632911,"-90%"
"11",150,"grid",0.689655172413793,"-90%"
"12",160,"grid",0.9375,"-90%"
"13",170,"grid",1.06796116504854,"-90%"
"14",180,"grid",0.471698113207547,"-90%"
"15",190,"grid",0.619469026548673,"-90%"
"16",200,"grid",0.932203389830509,"-90%"
"17",210,"grid",0.806451612903226,"-90%"
"18",220,"grid",0.78740157480315,"-90%"
"19",230,"grid",1.30434782608696,"-90%"
"20",240,"grid",1.15107913669065,"-90%"
"21",250,"grid",0.915032679738562,"-90%"
"22",260,"grid",0.961538461538462,"-90%"
"23",270,"grid",0.89171974522293,"-90%"
"24",280,"grid",0.710059171597633,"-90%"
"25",290,"grid",0.773809523809524,"-90%"
"26",300,"grid",0.977011494252874,"-90%"
"27",50,"random",0.4,"-90%"
"28",60,"random",0,"-90%"
"29",70,"random",0.227272727272727,"-90%"
"30",80,"random",0.384615384615385,"-90%"
"31",90,"random",0.961538461538462,"-90%"
"32",100,"random",0.645161290322581,"-90%"
"33",110,"random",1.37931034482759,"-90%"
"34",120,"random",0.735294117647059,"-90%"
"35",130,"random",1.05263157894737,"-90%"
"36",140,"random",0.684931506849315,"-90%"
"37",150,"random",0.666666666666667,"-90%"
"38",160,"random",0.8,"-90%"
"39",170,"random",0.917431192660551,"-90%"
"40",180,"random",1.02040816326531,"-90%"
"41",190,"random",0.588235294117647,"-90%"
"42",200,"random",0.948275862068966,"-90%"
"43",210,"random",0.813008130081301,"-90%"
"44",220,"random",1.171875,"-90%"
"45",230,"random",1.00719424460432,"-90%"
"46",240,"random",0.757575757575758,"-90%"
"47",250,"random",0.897435897435898,"-90%"
"48",260,"random",1.1038961038961,"-90%"
"49",270,"random",1.03896103896104,"-90%"
"50",280,"random",1.25748502994012,"-90%"
