"","percentile","suitability","km2"
"120","12.0%",0.000138163493829779,62334.7625761695
"121","12.1%",0.000141434239776572,62264.6472236305
"122","12.2%",0.000144406892650295,62193.7938147491
"123","12.3%",0.000147222288796911,62122.9404058676
"124","12.4%",0.00015091957320692,62052.0869969861
"125","12.5%",0.000154662760905921,61981.2335881046
"126","12.6%",0.00015836841557757,61910.3801792231
"127","12.7%",0.000161006505368277,61839.5267703417
"128","12.8%",0.000164110457990319,61768.6733614602
"129","12.9%",0.000167545027943561,61697.8199525787
"130","13.0%",0.000170883689861512,61626.9665436972
"131","13.1%",0.000174298661295325,61556.1131348157
"132","13.2%",0.000177543456084095,61485.2597259342
"133","13.3%",0.000180661163540208,61414.4063170528
"134","13.4%",0.000184574011655059,61343.5529081713
"135","13.5%",0.000188337817235151,61272.6994992898
"136","13.6%",0.000192134114331566,61201.8460904083
"137","13.7%",0.000196821103236289,61130.9926815268
"138","13.8%",0.000200241999118589,61060.1392726453
"139","13.9%",0.000203633581259055,60989.2858637639
"140","14.0%",0.000207919700187631,60917.6943985399
"141","14.1%",0.00021233655497781,60847.5790460009
"142","14.2%",0.000216709420783445,60775.9875807769
"143","14.3%",0.000220996711504995,60705.8722282379
"144","14.4%",0.000225130066974089,60635.0188193564
"145","14.5%",0.000229217668675119,60564.165410475
"146","14.6%",0.000233067505905637,60493.3120015935
"147","14.7%",0.000237462768200203,60422.458592712
"148","14.8%",0.000241335670580156,60350.867127488
"149","14.9%",0.000245581356284674,60280.751774949
"150","15.0%",0.000250240693276282,60209.8983660676
"151","15.1%",0.000254377919918625,60139.0449571861
"152","15.2%",0.000258792564272881,60068.1915483046
"153","15.3%",0.000262256091082236,59997.3381394231
"154","15.4%",0.000266356229258236,59926.4847305416
"155","15.5%",0.000270798060228117,59855.6313216601
"156","15.6%",0.000274793888092972,59784.7779127786
"157","15.7%",0.000279509753454477,59713.1864475547
"158","15.8%",0.000283388333627954,59642.3330386732
"159","15.9%",0.000287040351395262,59572.2176861342
"160","16.0%",0.000291163538349792,59501.3642772527
"161","16.1%",0.000296015048661502,59431.2489247137
"162","16.2%",0.000300668286217842,59360.3955158323
"163","16.3%",0.000305169104103697,59289.5421069508
"164","16.4%",0.000309502822346985,59217.9506417268
"165","16.5%",0.000314273944240995,59147.8352891878
"166","16.6%",0.000319146281981375,59076.9818803063
"167","16.7%",0.000323216504330048,59006.1284714249
"168","16.8%",0.000327894923975691,58935.2750625434
"169","16.9%",0.000332311428792309,58864.4216536619
"170","17.0%",0.000336781857185997,58793.5682447804
"171","17.1%",0.000341478028713027,58722.7148358989
"172","17.2%",0.00034521414199844,58651.8614270175
"173","17.3%",0.000349469128559576,58581.008018136
"174","17.4%",0.000353288384212647,58510.1546092545
"175","17.5%",0.000357197684934363,58439.301200373
"176","17.6%",0.000361972511745989,58368.4477914915
"177","17.7%",0.000367064117017435,58297.59438261
"178","17.8%",0.000371233187615871,58226.7409737286
"179","17.9%",0.000376582187891472,58155.8875648471
"180","18.0%",0.000382214770070277,58085.0341559656
"181","18.1%",0.000386940636235522,58014.1807470841
"182","18.2%",0.000392576881858986,57943.3273382026
"183","18.3%",0.000397768474795157,57872.4739293211
"184","18.4%",0.000403562653809786,57801.6205204397
"185","18.5%",0.000409027601563139,57730.7671115582
"186","18.6%",0.000414234948402736,57659.9137026767
"187","18.7%",0.000420606476836838,57589.0602937952
"188","18.8%",0.00042628450319171,57517.4688285712
"189","18.9%",0.000431418726657285,57447.3534760322
"190","19.0%",0.000436152084148489,57376.5000671508
"191","19.1%",0.000441383236466208,57305.6466582693
"192","19.2%",0.000446921848924831,57234.7932493878
"193","19.3%",0.000452055344067048,57163.9398405063
