"","percentile","suitability","km2"
"551","55.1%",0.00509170916629956,31805.0619680181
"552","55.2%",0.00511264503002167,31734.2085591366
"553","55.3%",0.00513359165051952,31663.3551502551
"554","55.4%",0.00515702401753515,31592.5017413737
"555","55.5%",0.00518252508481965,31521.6483324922
"556","55.6%",0.00520579679869115,31450.7949236107
"557","55.7%",0.00522899380885065,31379.9415147292
"558","55.8%",0.00525792315602303,31308.3500495052
"559","55.9%",0.00528828409733251,31238.2346969662
"560","56.0%",0.00531478459015489,31167.3812880848
"561","56.1%",0.00534567950526253,31097.2659355458
"562","56.2%",0.00537304857280105,31026.4125266643
"563","56.3%",0.00540025531081483,30955.5591177828
"564","56.4%",0.00542961047030985,30884.7057089013
"565","56.5%",0.00545178836910054,30813.8523000199
"566","56.6%",0.00548563047777861,30742.9988911384
"567","56.7%",0.00551674794405699,30671.4074259144
"568","56.8%",0.005548888258636,30601.2920733754
"569","56.9%",0.00557884868467227,30530.4386644939
"570","57.0%",0.00560702756047249,30458.8471992699
"571","57.1%",0.00564191895537079,30388.731846731
"572","57.2%",0.00567368539050222,30317.8784378495
"573","57.3%",0.0057014616788365,30247.025028968
"574","57.4%",0.00573298567906022,30175.433563744
"575","57.5%",0.00575486308662221,30105.318211205
"576","57.6%",0.00579157369211316,30034.4648023235
"577","57.7%",0.0058257743017748,29963.6113934421
"578","57.8%",0.00585162427742034,29892.7579845606
"579","57.9%",0.00588170906994492,29821.9045756791
"580","58.0%",0.0059072149451822,29751.0511667976
"581","58.1%",0.00593793847365305,29680.1977579161
"582","58.2%",0.00596692964900285,29609.3443490347
"583","58.3%",0.00599868176504969,29538.4909401532
"584","58.4%",0.00602677967399359,29467.6375312717
"585","58.5%",0.00605874217581004,29396.7841223902
"586","58.6%",0.00609252885915339,29325.9307135087
"587","58.7%",0.00613564464729279,29255.0773046272
"588","58.8%",0.0061706330627203,29184.2238957458
"589","58.9%",0.00619996630121022,29113.3704868643
"590","59.0%",0.00623989477753639,29042.5170779828
"591","59.1%",0.00626663387520239,28971.6636691013
"592","59.2%",0.00630100341513753,28900.8102602198
"593","59.3%",0.00633210152154788,28829.9568513383
"594","59.4%",0.00636833640746772,28759.1034424569
"595","59.5%",0.00639928708551452,28688.2500335754
"596","59.6%",0.00643901419825852,28617.3966246939
"597","59.7%",0.00647727865725756,28545.8051594699
"598","59.8%",0.00651851436123252,28474.9517505884
"599","59.9%",0.00655799544183537,28404.8363980494
"600","60.0%",0.00659350818023086,28333.982989168
"601","60.1%",0.00663577250670642,28263.867636629
"602","60.2%",0.00667169219814241,28193.0142277475
"603","60.3%",0.00670771959703415,28122.160818866
"604","60.4%",0.00674432977102697,28051.3074099846
"605","60.5%",0.00678035663440824,27979.7159447606
"606","60.6%",0.00682622767053545,27909.6005922216
"607","60.7%",0.00686457002302631,27838.7471833401
"608","60.8%",0.00690546650439501,27767.8937744586
"609","60.9%",0.00694047589786351,27697.0403655771
"610","61.0%",0.00698484771419317,27626.1869566957
"611","61.1%",0.00702955971937627,27555.3335478142
"612","61.2%",0.00707159121520817,27484.4801389327
"613","61.3%",0.00711504087084904,27413.6267300512
"614","61.4%",0.00715752714313567,27342.7733211697
"615","61.5%",0.00720005080802366,27271.9199122882
"616","61.6%",0.00724469404667616,27201.0665034068
"617","61.7%",0.00728818622883409,27130.2130945253
"618","61.8%",0.00732825472950935,27059.3596856438
"619","61.9%",0.00737327905371785,26988.5062767623
"620","62.0%",0.00742039829492569,26916.9148115383
"621","62.1%",0.00745743401348591,26846.7994589993
"622","62.2%",0.00749991310294717,26775.9460501179
"623","62.3%",0.00755466787377373,26705.0926412364
"624","62.4%",0.00760155441239476,26634.2392323549
"625","62.5%",0.00765489460900426,26563.3858234734
"626","62.6%",0.00770005055237561,26492.5324145919
"627","62.7%",0.00774311004206538,26421.6790057104
"628","62.8%",0.00779184722341597,26350.825596829
"629","62.9%",0.0078473452012986,26279.9721879475
"630","63.0%",0.00789616350084543,26209.118779066
"631","63.1%",0.00794308243785053,26138.2653701845
"632","63.2%",0.00800237338989973,26067.411961303
"633","63.3%",0.00804844277445227,25996.5585524215
"634","63.4%",0.00809399951249361,25925.7051435401
"635","63.5%",0.00814838916994631,25854.8517346586
"636","63.6%",0.0081987950950861,25783.9983257771
"637","63.7%",0.00825318263377995,25713.1449168956
"638","63.8%",0.00831068628467619,25642.2915080141
"639","63.9%",0.00836229529231787,25571.4380991327
"640","64.0%",0.00841943360865116,25500.5846902512
"641","64.1%",0.00848657502792776,25430.4693377122
"642","64.2%",0.00854794778861106,25359.6159288307
"643","64.3%",0.0086055844090879,25288.7625199492
"644","64.4%",0.00866937320679426,25217.9091110678
"645","64.5%",0.00872090761549771,25147.0557021863
"646","64.6%",0.00877098967321217,25076.2022933048
"647","64.7%",0.00882561649195851,25005.3488844233
"648","64.8%",0.00889065526425839,24934.4954755418
"649","64.9%",0.00895131507422775,24863.6420666603
"650","65.0%",0.00900266994722188,24792.7886577789
"651","65.1%",0.00907517143059522,24721.9352488974
"652","65.2%",0.00913967704400421,24651.0818400159
"653","65.3%",0.00919796517118812,24580.2284311344
"654","65.4%",0.00925475549884141,24509.3750222529
"655","65.5%",0.00933053344488144,24437.7835570289
"656","65.6%",0.00938934814184905,24367.66820449
"657","65.7%",0.00945267518982292,24296.8147956085
"658","65.8%",0.00951996073126793,24225.2233303845
"659","65.9%",0.00958575999829918,24155.1079778455
"660","66.0%",0.00965689541772008,24084.254568964
"661","66.1%",0.00973711400292814,24013.4011600825
"662","66.2%",0.00979514103382826,23942.5477512011
"663","66.3%",0.00986723601818085,23870.9562859771
"664","66.4%",0.0099487666040659,23800.8409334381
"665","66.5%",0.0100161960581318,23729.9875245566
"666","66.6%",0.0101085712201893,23659.1341156751
"667","66.7%",0.0101869784994051,23588.2807067936
"668","66.8%",0.0102513042278588,23517.4272979122
"669","66.9%",0.0103250730782747,23446.5738890307
"670","67.0%",0.0104001695290208,23375.7204801492
"671","67.1%",0.0104805858107284,23304.8670712677
"672","67.2%",0.0105613708496094,23234.0136623862
"673","67.3%",0.0106324395397678,23163.1602535047
"674","67.4%",0.0107109971344471,23092.3068446233
"675","67.5%",0.0107993825804442,23021.4534357418
"676","67.6%",0.0108672915957868,22950.6000268603
"677","67.7%",0.0109487054171041,22879.7466179788
"678","67.8%",0.0110310675110668,22808.8932090973
"679","67.9%",0.0111291683744639,22738.0398002159
"680","68.0%",0.011208307929337,22667.1863913344
"681","68.1%",0.0112965252250433,22597.0710387954
"682","68.2%",0.0113999164663255,22526.2176299139
"683","68.3%",0.0114902189932764,22455.3642210324
"684","68.4%",0.0115800497122109,22384.510812151
"685","68.5%",0.0116684510139748,22313.6574032695
"686","68.6%",0.0117701620794833,22242.803994388
"687","68.7%",0.0118574688676745,22171.9505855065
"688","68.8%",0.011941758915782,22101.097176625
"689","68.9%",0.0120365295791999,22030.2437677435
"690","69.0%",0.0121329224202782,21959.3903588621
"691","69.1%",0.0122144278138876,21887.7988936381
"692","69.2%",0.0123021073639393,21817.6835410991
"693","69.3%",0.0124318043934181,21746.8301322176
"694","69.4%",0.01252945587039,21675.9767233361
"695","69.5%",0.0126451812684536,21605.1233144546
"696","69.6%",0.0127389919012785,21534.2699055732
"697","69.7%",0.0128420092863962,21463.4164966917
"698","69.8%",0.012968693068251,21392.5630878102
"699","69.9%",0.013081848830916,21321.7096789287
"700","70.0%",0.0131896301172674,21250.8562700472
"701","70.1%",0.0133091295138002,21180.0028611657
"702","70.2%",0.0134039232507348,21108.4113959417
"703","70.3%",0.0135165433399379,21038.2960434028
"704","70.4%",0.0136133134365082,20967.4426345213
"705","70.5%",0.0137215156573802,20896.5892256398
"706","70.6%",0.0138413175940514,20825.7358167583
"707","70.7%",0.0139490043045953,20754.8824078768
"708","70.8%",0.0140591263771057,20683.2909426529
"709","70.9%",0.0141664568334818,20613.1755901139
"710","71.0%",0.014284186065197,20542.3221812324
"711","71.1%",0.014401603792794,20471.4687723509
"712","71.2%",0.0145219011232257,20400.6153634694
"713","71.3%",0.0146288067568094,20329.761954588
"714","71.4%",0.0147369865328073,20258.9085457065
"715","71.5%",0.0148484458914027,20188.055136825
"716","71.6%",0.0149517303332686,20117.2017279435
"717","71.7%",0.0150603071320802,20046.348319062
"718","71.8%",0.0151786294765771,19975.4949101805
"719","71.9%",0.0152926903683692,19904.6415012991
"720","72.0%",0.0153993293642998,19833.7880924176
"721","72.1%",0.0155156377935782,19763.6727398786
"722","72.2%",0.0156183914281428,19692.8193309971
"723","72.3%",0.0157426707446575,19621.2278657731
"724","72.4%",0.0158717235550284,19551.1125132342
"725","72.5%",0.0159963965415955,19479.5210480102
"726","72.6%",0.0161240882240235,19409.4056954712
"727","72.7%",0.0162658587563783,19338.5522865897
"728","72.8%",0.0163952436298132,19267.6988777082
"729","72.9%",0.0165375939570367,19196.8454688267
"730","73.0%",0.0166696975938976,19125.9920599453
"731","73.1%",0.0167969748843461,19055.1386510638
"732","73.2%",0.0169360172003508,18984.2852421823
"733","73.3%",0.0170611482579261,18913.4318333008
"734","73.4%",0.0171959379687905,18842.5784244193
"735","73.5%",0.0173397783655673,18771.7250155378
"736","73.6%",0.0174884054809809,18700.8716066564
"737","73.7%",0.0176406248938292,18630.0181977749
"738","73.8%",0.0177999381907284,18559.1647888934
"739","73.9%",0.0179356099106371,18488.3113800119
"740","74.0%",0.0180676132440567,18417.4579711304
"741","74.1%",0.0181956300977618,18346.604562249
"742","74.2%",0.0183241909369826,18275.7511533675
"743","74.3%",0.018463186873123,18204.897744486
"744","74.4%",0.0186085112392902,18134.0443356045
"745","74.5%",0.0187405191827565,18063.190926723
"746","74.6%",0.0188785933889449,17992.3375178415
"747","74.7%",0.0190169597510248,17921.4841089601
"748","74.8%",0.0191621027886868,17850.6307000786
"749","74.9%",0.0193094417452812,17779.7772911971
"750","75.0%",0.0194435496814549,17708.9238823156
"751","75.1%",0.0196023452561349,17638.0704734341
"752","75.2%",0.0197622898966074,17567.2170645526
"753","75.3%",0.0199382024351507,17496.3636556712
"754","75.4%",0.0201139155775309,17425.5102467897
"755","75.5%",0.0202651391737163,17354.6568379082
"756","75.6%",0.0204181883484125,17283.8034290267
"757","75.7%",0.0205706350039691,17212.9500201452
"758","75.8%",0.0207325073890388,17142.0966112637
"759","75.9%",0.0208998026326298,17071.2432023823
"760","76.0%",0.021087808534503,17000.3897935008
"761","76.1%",0.0212610985618085,16930.2744409618
"762","76.2%",0.0214186384342611,16859.4210320803
"763","76.3%",0.0216144987847656,16788.5676231988
"764","76.4%",0.0217870680615306,16717.7142143174
"765","76.5%",0.0219416413456202,16646.8608054359
"766","76.6%",0.022145881317556,16576.0073965544
"767","76.7%",0.0223204188980162,16505.1539876729
"768","76.8%",0.0224655043333769,16434.3005787914
"769","76.9%",0.0226438825950027,16363.44716991
"770","77.0%",0.022813524119556,16292.5937610285
"771","77.1%",0.0230215256102383,16221.740352147
"772","77.2%",0.0232654698193073,16150.8869432655
"773","77.3%",0.0234823907259852,16080.033534384
"774","77.4%",0.0236917970702053,16009.1801255025
"775","77.5%",0.0239231158047915,15937.5886602785
"776","77.6%",0.0241353500634432,15867.4733077396
"777","77.7%",0.0243298563640565,15796.6198988581
"778","77.8%",0.0245272049680352,15725.7664899766
"779","77.9%",0.024764144141227,15654.9130810951
"780","78.0%",0.0249803559854627,15584.0596722136
"781","78.1%",0.0251924498472363,15513.2062633322
"782","78.2%",0.0254199518822133,15442.3528544507
"783","78.3%",0.0256720956414938,15371.4994455692
"784","78.4%",0.0259081471711397,15300.6460366877
"785","78.5%",0.0261579456273466,15229.7926278062
"786","78.6%",0.0263855936005712,15158.9392189247
"787","78.7%",0.0266759352292865,15088.0858100433
"788","78.8%",0.0269104236736894,15017.2324011618
"789","78.9%",0.0271748731844128,14946.3789922803
"790","79.0%",0.0274192923679948,14875.5255833988
"791","79.1%",0.0276749472133815,14804.6721745173
"792","79.2%",0.0279497187584639,14733.8187656358
"793","79.3%",0.0282155339140445,14662.9653567544
"794","79.4%",0.0285034884698689,14592.1119478729
"795","79.5%",0.0287711834535003,14521.2585389914
"796","79.6%",0.0290806729346514,14450.4051301099
"797","79.7%",0.0294125500135124,14379.5517212284
"798","79.8%",0.0296943251043558,14308.6983123469
"799","79.9%",0.0300324094481766,14237.8449034655
"800","80.0%",0.0303489826619625,14166.991494584
"801","80.1%",0.0306198806967586,14096.876142045
"802","80.2%",0.0309515804052353,14026.0227331635
"803","80.3%",0.0313763406127691,13955.169324282
"804","80.4%",0.0317001964896918,13884.3159154006
"805","80.5%",0.0320327691733837,13812.7244501766
"806","80.6%",0.0323496572673321,13741.8710412951
"807","80.7%",0.0327229984104633,13671.7556887561
"808","80.8%",0.0330381006002426,13600.9022798746
"809","80.9%",0.0334326564334333,13530.0488709932
"810","81.0%",0.0338639114052057,13459.1954621117
"811","81.1%",0.0342438278719783,13388.3420532302
"812","81.2%",0.034609740972519,13317.4886443487
"813","81.3%",0.0350543529726565,13246.6352354672
"814","81.4%",0.0355018571019173,13175.7818265857
"815","81.5%",0.0358226522803307,13104.9284177043
"816","81.6%",0.0362894997000695,13034.0750088228
"817","81.7%",0.0367324667051434,12963.2215999413
"818","81.8%",0.0372666660696268,12892.3681910598
"819","81.9%",0.0378324539400637,12821.5147821783
"820","82.0%",0.0383003614842892,12750.6613732968
"821","82.1%",0.0387848369777203,12679.8079644154
"822","82.2%",0.0392537841573358,12608.9545555339
"823","82.3%",0.0397581987082958,12538.1011466524
"824","82.4%",0.0402124151587487,12467.2477377709
"825","82.5%",0.0408128248527646,12396.3943288894
"826","82.6%",0.0413658602163196,12325.5409200079
"827","82.7%",0.0419519264250994,12254.6875111265
"828","82.8%",0.0423790536820889,12183.834102245
"829","82.9%",0.0429631429724396,12112.9806933635
"830","83.0%",0.0435007214546204,12042.127284482
"831","83.1%",0.0440979324281216,11971.2738756005
"832","83.2%",0.0446683831512929,11900.420466719
"833","83.3%",0.0452871473506093,11829.5670578376
"834","83.4%",0.0458820888772606,11758.7136489561
"835","83.5%",0.0465804901905358,11687.8602400746
"836","83.6%",0.0472603015601634,11617.0068311931
"837","83.7%",0.0477842341177165,11546.1534223116
"838","83.8%",0.0485053224489093,11475.3000134302
"839","83.9%",0.049287780188024,11404.4466045487
"840","84.0%",0.0500116050243378,11333.5931956672
"841","84.1%",0.050760344043374,11263.4778431282
"842","84.2%",0.0514377579092979,11191.8863779042
"843","84.3%",0.0520785367116332,11121.7710253653
"844","84.4%",0.0528290096670389,11050.9176164838
"845","84.5%",0.0535532152280211,10980.0642076023
"846","84.6%",0.0544051332399248,10909.2107987208
"847","84.7%",0.0553223107941449,10838.3573898393
"848","84.8%",0.056095190346241,10766.7659246153
"849","84.9%",0.0569188904948532,10696.6505720764
"850","85.0%",0.0576805183663964,10625.7971631949
"851","85.1%",0.0585941792465746,10554.9437543134
"852","85.2%",0.0595733150839806,10483.3522890894
"853","85.3%",0.0604646661318839,10413.2369365504
"854","85.4%",0.0612444264814257,10342.3835276689
"855","85.5%",0.0619865236803889,10271.5301187875
"856","85.6%",0.0630190193653106,10200.676709906
"857","85.7%",0.0639258308336138,10129.8233010245
"858","85.8%",0.064889781177044,10058.969892143
"859","85.9%",0.0658260393887758,9988.11648326153
"860","86.0%",0.0670486018061638,9917.26307438005
"861","86.1%",0.0681951919570567,9846.40966549856
"862","86.2%",0.0692661918699741,9775.55625661708
"863","86.3%",0.0702357590198517,9704.7028477356
"864","86.4%",0.0713468268513679,9633.84943885411
"865","86.5%",0.0724300220608711,9562.99602997263
"866","86.6%",0.073464782908559,9492.14262109115
"867","86.7%",0.0745504889637232,9421.28921220967
"868","86.8%",0.0756373599171639,9350.43580332818
"869","86.9%",0.0767092345282435,9279.5823944467
"870","87.0%",0.0777495708316565,9208.72898556522
"871","87.1%",0.0790232317522168,9137.87557668373
"872","87.2%",0.0802401676774024,9067.02216780225
"873","87.3%",0.0816877078264952,8996.16875892077
"874","87.4%",0.0829470098018646,8925.31535003929
"875","87.5%",0.0841991137713194,8854.4619411578
"876","87.6%",0.0854357302188876,8783.60853227632
"877","87.7%",0.0869207641109824,8712.75512339484
"878","87.8%",0.0885652665048838,8641.90171451335
"879","87.9%",0.0898855328559875,8571.04830563187
"880","88.0%",0.0911903381347656,8500.19489675039
"881","88.1%",0.0926967861130835,8430.07954421142
"882","88.2%",0.0937339067459106,8359.22613532994
"883","88.3%",0.0956110309809446,8288.37272644846
"884","88.4%",0.0972276009619235,8217.51931756697
"885","88.5%",0.0987314702942967,8146.66590868549
"886","88.6%",0.100190312787891,8075.81249980401
"887","88.7%",0.102031385712326,8004.95909092253
"888","88.8%",0.103839553892612,7934.10568204104
"889","88.9%",0.105353851243853,7863.25227315956
"890","89.0%",0.106841774657369,7792.39886427808
"891","89.1%",0.108524464443326,7721.54545539659
"892","89.2%",0.110387168079615,7650.69204651511
"893","89.3%",0.112288502790034,7579.83863763363
"894","89.4%",0.113813012838364,7508.98522875215
"895","89.5%",0.115345320664346,7438.13181987066
"896","89.6%",0.117589463293553,7367.27841098918
"897","89.7%",0.119207489676773,7296.4250021077
"898","89.8%",0.121110126376152,7225.57159322621
"899","89.9%",0.12323612626642,7154.71818434473
"900","90.0%",0.125332862138748,7083.86477546325
"901","90.1%",0.127312676236033,7013.01136658177
"902","90.2%",0.128889292478561,6941.41990135777
"903","90.3%",0.131234067305923,6871.3045488188
"904","90.4%",0.133523845672607,6800.45113993732
"905","90.5%",0.135327868163586,6729.59773105583
"906","90.6%",0.136932846903801,6658.74432217435
"907","90.7%",0.138672411441803,6587.15285695035
"908","90.8%",0.140704637765884,6517.03750441139
"909","90.9%",0.143310010805726,6446.1840955299
"910","91.0%",0.145758990198374,6375.33068664842
"911","91.1%",0.148536083474756,6304.47727776694
"912","91.2%",0.150839588046074,6233.62386888546
"913","91.3%",0.153223807364702,6162.77046000397
"914","91.4%",0.155738338083029,6091.91705112249
"915","91.5%",0.157767927274108,6021.06364224101
"916","91.6%",0.160707788169384,5950.21023335952
"917","91.7%",0.162947280704975,5879.35682447804
"918","91.8%",0.165437534451485,5807.76535925404
"919","91.9%",0.167606459185481,5737.65000671508
"920","92.0%",0.170191049575806,5666.79659783359
"921","92.1%",0.172998092696071,5596.68124529463
"922","92.2%",0.175321769714355,5525.82783641314
"923","92.3%",0.177858129143715,5454.23637118914
"924","92.4%",0.18108600974083,5384.12101865018
"925","92.5%",0.18390447460115,5313.26760976869
"926","92.6%",0.186536418646574,5242.41420088721
"927","92.7%",0.189465585350991,5171.56079200573
"928","92.8%",0.192377483844757,5100.70738312425
"929","92.9%",0.195077211409807,5029.85397424276
"930","93.0%",0.198088321834803,4959.00056536128
"931","93.1%",0.201347426697612,4888.1471564798
"932","93.2%",0.204176613688469,4817.29374759831
"933","93.3%",0.207122572511435,4746.44033871683
"934","93.4%",0.209938664734364,4675.58692983535
"935","93.5%",0.212970778346062,4604.73352095387
"936","93.6%",0.216359999775887,4533.88011207238
"937","93.7%",0.220344441756607,4463.0267031909
"938","93.8%",0.223381659388542,4392.17329430942
"939","93.9%",0.227319555729628,4321.31988542794
"940","94.0%",0.230722546577454,4250.46647654645
"941","94.1%",0.234955098852515,4179.61306766497
"942","94.2%",0.23916883468628,4108.75965878349
"943","94.3%",0.243791819363833,4037.906249902
"944","94.4%",0.247656145691873,3967.05284102052
"945","94.5%",0.251689109951258,3896.19943213904
"946","94.6%",0.255943006277084,3825.34602325756
"947","94.7%",0.261051359772683,3754.49261437607
"948","94.8%",0.264473855495453,3683.63920549459
"949","94.9%",0.269116092473269,3612.78579661311
"950","95.0%",0.273610852658749,3541.93238773162
"951","95.1%",0.277747113257647,3471.07897885014
"952","95.2%",0.28146260380745,3400.22556996866
"953","95.3%",0.285602679848671,3329.37216108718
"954","95.4%",0.289644040167332,3258.51875220569
"955","95.5%",0.295448247343302,3187.66534332421
"956","95.6%",0.300730913877487,3116.07387810021
"957","95.7%",0.304887400567533,3045.95852556125
"958","95.8%",0.310329522192478,2975.10511667976
"959","95.9%",0.3156901486218,2904.25170779828
"960","96.0%",0.321821689605713,2832.66024257428
"961","96.1%",0.328424219042062,2763.28294637783
"962","96.2%",0.334373943507671,2692.42953749635
"963","96.3%",0.340282583236694,2621.57612861486
"964","96.4%",0.346093294024466,2550.72271973338
"965","96.5%",0.352295905351639,2479.13125450938
"966","96.6%",0.359356920421123,2409.01590197042
"967","96.7%",0.36640937179327,2338.16249308893
"968","96.8%",0.37315394282341,2267.30908420745
"969","96.9%",0.379534219950437,2196.45567532597
"970","97.0%",0.386806309223175,2125.60226644448
"971","97.1%",0.394244189560413,2054.748857563
"972","97.2%",0.401191276311874,1983.89544868152
"973","97.3%",0.408201158046722,1912.30398345752
"974","97.4%",0.416636556386946,1842.18863091855
"975","97.5%",0.425725489854813,1771.33522203707
"976","97.6%",0.433899742364881,1700.48181315559
"977","97.7%",0.443134656548499,1629.6284042741
"978","97.8%",0.451713179051877,1558.77499539262
"979","97.9%",0.461430338770151,1487.92158651114
"980","98.0%",0.470701470971107,1417.06817762966
"981","98.1%",0.480646746605634,1346.21476874817
"982","98.2%",0.491819566488265,1275.36135986669
"983","98.3%",0.504090598225594,1204.50795098521
"984","98.4%",0.515736961364743,1133.65454210372
"985","98.5%",0.529160141944885,1062.80113322224
"986","98.6%",0.543352842330933,991.947724340759
"987","98.7%",0.557499718666076,921.094315459276
"988","98.8%",0.570331633090974,850.240906577794
"989","98.9%",0.584216895699501,779.387497696311
"990","99.0%",0.601058378815651,708.534088814828
"991","99.1%",0.614500263333321,637.680679933345
"992","99.2%",0.629492127895354,566.827271051862
"993","99.3%",0.644981180131436,495.97386217038
"994","99.4%",0.662455770373344,425.120453288897
"995","99.5%",0.67889042943716,354.267044407414
"996","99.6%",0.700597631931305,283.413635525931
"997","99.7%",0.725933013856409,212.560226644448
"998","99.8%",0.752871802449233,141.706817762966
"999","99.9%",0.793232607841492,70.8534088814828
